current_round,agents_data,death_data,birth_data
17,"(551, 691)","(160, 1)","(2, 60)"
18,"(424, 723)","(104, 0)","(0, 32)"
19,"(1087, 789)","(3, 0)","(666, 66)"
20,"(788, 855)","(236, 0)","(4, 66)"
21,"(1724, 947)","(150, 0)","(1120, 92)"
2,"(90, 300)","(10, 0)","(0, 0)"
3,"(76, 300)","(12, 0)","(0, 0)"
4,"(68, 300)","(8, 0)","(0, 0)"
5,"(192, 310)","(0, 0)","(124, 10)"
6,"(153, 364)","(33, 0)","(0, 54)"
7,"(365, 410)","(26, 0)","(240, 46)"
8,"(285, 428)","(61, 0)","(0, 18)"
9,"(222, 442)","(55, 0)","(0, 14)"
10,"(188, 458)","(28, 0)","(0, 16)"
11,"(485, 506)","(24, 0)","(322, 48)"
12,"(365, 517)","(100, 5)","(2, 16)"
13,"(303, 573)","(53, 0)","(0, 56)"
14,"(734, 617)","(53, 0)","(488, 44)"
15,"(554, 669)","(146, 0)","(4, 52)"
16,"(1236, 811)","(115, 0)","(818, 142)"
17,"(881, 829)","(284, 0)","(0, 18)"
18,"(651, 841)","(193, 0)","(6, 12)"
19,"(509, 887)","(124, 0)","(2, 46)"
20,"(1303, 932)","(6, 1)","(800, 46)"
21,"(951, 972)","(291, 0)","(8, 40)"
2,"(83, 300)","(16, 0)","(0, 0)"
3,"(76, 300)","(6, 0)","(0, 0)"
4,"(207, 340)","(7, 0)","(138, 40)"
5,"(168, 350)","(35, 0)","(0, 10)"
6,"(145, 370)","(21, 0)","(0, 20)"
7,"(388, 400)","(1, 0)","(244, 30)"
8,"(296, 434)","(75, 0)","(0, 34)"
9,"(227, 460)","(58, 0)","(0, 26)"
10,"(523, 552)","(37, 0)","(342, 92)"
11,"(393, 598)","(108, 0)","(0, 46)"
12,"(308, 632)","(73, 2)","(0, 36)"
